Day,Studio,Time,Class / Level,Instructor,Notes
Monday,Atelier,10:30 - 12:00,Intermediate,Heichi,
Monday,Atelier,12:15 - 13:15,Beginner 1,Heichi,
Monday,A-Ballet,13:45 - 15:10,Ballet 1,Ms Pansy,
Monday,Atelier,14:00 - 15:15,Beginner 2,Heejung,
Monday,Lumière,19:00 - 20:00,Beg & Pointe,Sharon,💖 Pointe optional
Monday,JB Studio,19:15 - 20:30,Beginner 1,Eunsil,
Monday,Atelier,19:20 - 20:35,Beginner 2,Heejung,
Monday,A-Ballet,19:45 - 21:10,Ballet Intro-1,Ms Karen,+ 21:15 - 21:45 Pointe Intro [Optional]
Monday,Lumière,20:00 - 21:15,Pre Inter,Jeremy,
Monday,Atelier,20:40 - 21:55,Beginner 3,Heejung,
Tuesday,JB Studio,10:00 - 11:00,Beginner 2,Dajung,
Tuesday,Atelier,11:00 - 12:00,Beginner 2,Heichi,
Tuesday,HKB,11:00 - 13:00,Ballet Technique: Elementary & Intro To Pointe,Dong Ruixue,
Tuesday,Atelier,12:10 - 13:10,Beginner 3,Heichi,
Tuesday,JB Studio,12:30 - 13:30,Beginner 1,Nayoung,
Tuesday,Atelier,13:30 - 14:40,Beginner 1,Heejung,
Tuesday,A-Ballet,13:45 - 15:10,Ballet 1,Ms Karen,
Tuesday,A-Ballet,19:00 - 20:25,Ballet Intro,Ms Karen,
Tuesday,A-Ballet,19:00 - 20:25,Ballet 1-2,Ms Pansy,
Tuesday,JB Studio,19:15 - 20:30,Beginner 2,Jayeon,
Tuesday,Atelier,19:30 - 20:30,Beginner 3,Heichi,
Tuesday,Lumière,19:30 - 20:45,Advance Beginner,CL,
Tuesday,JB Studio,20:30 - 21:45,Intermediate,Jayeon,
Tuesday,A-Ballet,20:30 - 21:55,Pointe & Variation 2,Ms Pansy,
Tuesday,Atelier,20:40 - 21:40,Beginner 1,Heichi,
Wednesday,JB Studio,10:00 - 11:00,Beginner 1,Nayoung,
Wednesday,Atelier,10:40 - 11:50,Beginner 1,Kaka,
Wednesday,Lumière,10:45 - 11:45,Beginner,Sharon,
Wednesday,A-Ballet,11:00 - 12:25,Ballet Intro-1,Ms Karen,
Wednesday,Lumière,11:45 - 12:30,Stretch & Fitness,Sharon,
Wednesday,Atelier,12:00 - 13:15,Beginner 2,Kaka,
Wednesday,JB Studio,12:30 - 13:30,Beginner 2,Nayoung,
Wednesday,Atelier,13:30 - 14:30,Silver Ballet Basic,Rica,
Wednesday,Lumière,19:00 - 20:00,Beginner,Sharon,
Wednesday,A-Ballet,19:00 - 20:25,RAD INTER*,Ms Karen,NEW!
Wednesday,JB Studio,19:15 - 20:30,Intermediate (KR),Dajung,
Wednesday,Atelier,19:30 - 20:40,Beginner 1,Sofie,
Wednesday,A-Ballet,19:45 - 21:10,RAD AF,Ms Pansy,
Wednesday,Lumière,20:00 - 21:15,Advance Beginner,Sharon,
Wednesday,JB Studio,20:30 - 21:45,Beginner 1,Eunsil,
Wednesday,Atelier,20:40 - 21:55,Beginner 3,Sofie,
Wednesday,Lumière,21:15 - 22:30,Pre Inter,Sharon,
Thursday,JB Studio,10:00 - 11:00,Beginner 1 (KR),Dajung,
Thursday,Atelier,10:30 - 12:00,Intermediate,Cindy,
Thursday,A-Ballet,10:45 - 12:10,Ballet 1,Ms Karen / Ms Pansy,NEW!
Thursday,Atelier,12:10 - 13:30,Pre-Intermediate,Heejung,
Thursday,JB Studio,12:30 - 13:30,Intermediate,Dajung,
Thursday,Atelier,13:40 - 14:55,Beginner 2,Heejung,
Thursday,JB Studio,19:15 - 20:30,Advanced,Eunsil,
Thursday,Lumière,19:15 - 20:45,Inter,Sharon,
Thursday,Atelier,19:20 - 20:30,Beginner 1,Heejung,
Thursday,A-Ballet,20:00 - 21:25,RAD A2,Ms Karen,
Thursday,A-Ballet,20:00 - 21:25,Ballet 1-2,Ms Pansy / Ms Cindy,+ 21:30 - 22:00 Pointe 1 [Optional]
Thursday,JB Studio,20:30 - 21:45,Pointe,Eunsil,
Thursday,Lumière,20:45 - 21:30,Pointe,Sharon,
Friday,Atelier,10:30 - 11:10,Kids 3+,Rica,
Friday,A-Ballet,11:00 - 12:25,Ballet 1,Ms Cindy,NEW!
Friday,Atelier,11:20 - 12:05,Kids 5+,Rica,
Friday,Atelier,12:15 - 13:30,Beginner 3,Heejung,
Friday,JB Studio,12:30 - 13:30,Advanced,Dajung,
Friday,Atelier,13:40 - 14:50,Beginner 1,Heejung,
Friday,A-Ballet,17:30 - 18:55,RAD IF*,Ms Karen,
Friday,Lumière,19:00 - 20:00,Beginner,CL,
Friday,A-Ballet,19:00 - 20:25,Ballet Intro-1,Ms Karen,
Friday,Atelier,19:20 - 20:35,Beginner 2,Heejung,
Friday,Lumière,20:00 - 21:15,Pre Inter,CL,
Friday,A-Ballet,20:00 - 21:25,RAD A1*,Ms Pansy,
Friday,JB Studio,20:30 - 21:45,Beginner 2,Jayeon,
Friday,A-Ballet,20:30 - 21:55,RAD AF,Ms Karen,
Saturday,JB Studio,09:30 - 10:30,Beginner 1 (KR),Dajung,
Saturday,JB Studio,10:30 - 11:30,Beginner 2 (KR),Dajung,
Saturday,Atelier,10:30 - 12:00,Intermediate,Heichi,
Saturday,JB Studio,11:30 - 12:30,Body Cond & Strength,Jayeon,
Saturday,Atelier,12:10 - 13:10,Beginner 1,Heichi,
Saturday,Atelier,13:20 - 14:35,Beginner 2,Sofie,
Saturday,Lumière,13:30 - 14:30,Absolute Beginner,CL,
Saturday,Lumière,14:30 - 15:45,Advance Beginner,CL,
